gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,country,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,KDA,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,heraldkills,oppheraldkills,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,1,Blue,Top,Evi,DetonatioN FocusMe,Japan,Gnar,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,0,4,4,1,7,22,0,0,0,0,0,0,0,3.879983333,0,0.037688442,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,1,0,13.58856667,0,0,1,10,0,23.77981667,0,1,11588,436.7336683,0.312067433,0.206844383,11,0.414572864,0.105769231,4,0.150753769,4,6, , ,8407,184.059799,8300,-0.151447661,180,8,4,1,7.085427136,3078,3440,-362,4670,5468,-798,4530,5051,-521,76,90,-14,116,122,-6
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,2,Blue,Jungle,Steal,DetonatioN FocusMe,Japan,Ekko,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,1,4,5,1.5,7,22,0,0,0,0,0,0,0,3.879983333,0.037688442,0.263819095,1.092964824,1,9.717566667,1,2,1,2,0,0,0,1,0,0,0,1,0,13.58856667,0,0,1,10,0,23.77981667,0,1,7925,298.6809045,0.213422024,0.166862341,24,0.904522613,0.230769231,8,0.301507538,11,13, , ,7463,148.4819095,7360,-0.296789124,35,96,76,0,4.93718593,3684,4055,-371,4912,6278,-1366,3679,3928,-249,60,64,-4,88,105,-17
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,3,Blue,Middle,Ceros,DetonatioN FocusMe,Japan,Nocturne,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,1,5,6,1.4,7,22,0,0,0,0,0,0,0,3.879983333,0.037688442,0.113065327,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,1,0,13.58856667,0,0,1,10,0,23.77981667,0,1,7557,284.8115578,0.203511701,0.210105631,13,0.489949749,0.125,1,0.037688442,6,7, , ,8484,186.961809,7700,-0.281729428,186,6,4,0,7.236180905,3926,3569,357,5487,6116,-629,4751,4533,218,88,85,3,131,150,-19
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,4,Blue,ADC,Yutapon,DetonatioN FocusMe,Japan,Lucian,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,3,4,1,1,7,22,1,0,0,0,0,0,0,3.879983333,0.113065327,0.414572864,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,1,0,13.58856667,0,0,1,10,0,23.77981667,0,1,7369,277.7261307,0.198448819,0.300742887,9,0.33919598,0.086538462,7,0.263819095,3,4, , ,10624,267.6150754,10150,-0.215384615,219,20,20,0,9.007537688,3579,3969,-390,5313,7142,-1829,3526,3532,-6,87,76,11,119,134,-15
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,5,Blue,Support,Gaeng,DetonatioN FocusMe,Japan,Thresh,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,2,5,2,0.8,7,22,0,0,0,0,0,0,1,3.879983333,0.075376884,0,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,1,0,13.58856667,0,0,1,10,0,23.77981667,0,1,2694,101.5326633,0.072550023,0.115444758,47,1.771356784,0.451923077,8,0.301507538,13,14, , ,6249,102.7281407,5450,-0.296875,12,2,2,0,0.527638191,2088,2394,-306,3163,4319,-1156,2731,2376,355,4,3,1,6,5,1
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,6,Red,Top,Vizicsacsi,Splyce,United States,Kennen,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,1,1,12,13,22,7,0,0,0,0,0,0,0,3.879983333,0.037688442,0,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,0,1,13.58856667,1,1,10,1,1,23.77981667,1,0,14478,545.6532663,0.243147924,0.159670811,15,0.565326633,0.1875,8,0.301507538,7,9, , ,9759,235.0145729,9660,0.151447661,182,0,0,0,6.859296482,3440,3078,362,5468,4670,798,5051,4530,521,90,76,14,122,116,6
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,7,Red,Jungle,Xerxe,Splyce,United States,Hecarim,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,7,1,6,13,22,7,1,0,0,0,1,0,0,3.879983333,0.263819095,0.037688442,1.092964824,0,9.717566667,2,1,2,1,0,1,0,1,0,0,1,0,1,13.58856667,1,1,10,1,1,23.77981667,1,0,7782,293.2914573,0.130693269,0.199871971,9,0.33919598,0.1125,7,0.263819095,8,10, , ,11329,294.1854271,9925,0.296789124,18,128,78,12,5.502512563,4055,3684,371,6278,4912,1366,3928,3679,249,64,60,4,105,88,17
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,8,Red,Middle,Humanoid,Splyce,United States,Ryze,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,3,2,10,6.5,22,7,0,0,0,0,0,0,0,3.879983333,0.113065327,0.037688442,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,0,1,13.58856667,1,1,10,1,1,23.77981667,1,0,12668,477.4371859,0.212750235,0.215721982,15,0.565326633,0.1875,12,0.452261307,6,7, , ,11948,317.5145729,10225,0.281729428,222,44,24,11,10.02512563,3569,3926,-357,6116,5487,629,4533,4751,-218,85,88,-3,150,131,19
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,9,Red,ADC,Kobbe,Splyce,United States,Xayah,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,11,0,5,100,22,7,3,0,0,0,0,1,0,3.879983333,0.414572864,0.113065327,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,0,1,13.58856667,1,1,10,1,1,23.77981667,1,0,20899,787.6507538,0.350984146,0.300989409,11,0.414572864,0.1375,11,0.414572864,3,4, , ,15278,443.0170854,12600,0.215384615,253,16,12,0,10.13819095,3969,3579,390,7142,5313,1829,3532,3526,6,76,87,-11,134,119,15
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,2019-10-02,PI-RR,1,9.19,10,Red,Support,Norskeren,Splyce,United States,Rakan,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,0,3,18,6,22,7,0,0,0,0,0,1,0,3.879983333,0,0.075376884,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,0,1,13.58856667,1,1,10,1,1,23.77981667,1,0,3717,140.0879397,0.062424426,0.123745826,30,1.130653266,0.375,13,0.489949749,11,11, , ,8356,182.1376884,7350,0.296875,13,0,0,0,0.489949749,2394,2088,306,4319,3163,1156,2376,2731,-355,3,4,-1,5,6,-1
