"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","AUS","Australia","2011","2011",43,,
"220006","Total number of national feature films produced","AUS","Australia","2012","2012",29,,
"220006","Total number of national feature films produced","AUS","Australia","2013","2013",26,,
"220006","Total number of national feature films produced","AUS","Australia","2014","2014",39,,
"220006","Total number of national feature films produced","AUS","Australia","2015","2015",33,,
"220006","Total number of national feature films produced","AUS","Australia","2016","2016",42,,
"220006","Total number of national feature films produced","AUS","Australia","2017","2017",55,,
"220006","Total number of national feature films produced","AUT","Austria","2011","2011",54,,
"220006","Total number of national feature films produced","AUT","Austria","2012","2012",54,,
"220006","Total number of national feature films produced","AUT","Austria","2013","2013",46,,
"220006","Total number of national feature films produced","AUT","Austria","2014","2014",45,,
"220006","Total number of national feature films produced","AUT","Austria","2015","2015",40,,
"220006","Total number of national feature films produced","AUT","Austria","2016","2016",46,,
"220006","Total number of national feature films produced","AUT","Austria","2017","2017",44,,
"220006","Total number of national feature films produced","BEL","Belgium","2011","2011",42,,
"220006","Total number of national feature films produced","BEL","Belgium","2012","2012",55,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2013","2013",70,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2014","2014",73,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2015","2015",69,"‡","UIS Estimation"
"220006","Total number of national feature films produced","BEL","Belgium","2016","2016",81,,
"220006","Total number of national feature films produced","BEL","Belgium","2017","2017",87,,
"220006","Total number of national feature films produced","CAN","Canada","2011","2011",86,,
"220006","Total number of national feature films produced","CAN","Canada","2012","2012",98,,
"220006","Total number of national feature films produced","CAN","Canada","2013","2013",93,,
"220006","Total number of national feature films produced","CAN","Canada","2014","2014",94,,
"220006","Total number of national feature films produced","CAN","Canada","2015","2015",103,,
"220006","Total number of national feature films produced","CAN","Canada","2016","2016",105,,
