date,BTC,ETC,ETH,XRP,XLM,TRX
2020-06-07,9663.64,6.8565,241.64,0.204,0.07986,0.01709
2020-06-06,9666.3,6.862,241.94,0.20361,0.0797,0.01704
2020-06-05,9621.16,6.8436,240.03,0.20274,0.07888,0.01685
2020-06-04,9789.06,6.9152,243.21,0.20427,0.08204,0.01687
2020-06-03,9666.24,6.9413,244.52,0.2041,0.08278,0.01691
2020-06-02,9518.04,6.9781,237.71,0.20301,0.07951,0.01637
2020-06-01,10200.77,7.2045,248.23,0.211,0.07573,0.01707
2020-05-31,9448.27,6.9388,231.57,0.20245,0.0705,0.01582
2020-05-30,9697.72,7.4928,243.66,0.20701,0.07252,0.01638
2020-05-29,9427.07,7.2254,220.67,0.19759,0.06777,0.015
2020-05-28,9575.89,6.8609,220.21,0.20052,0.0691,0.01514
2020-05-27,9204.07,6.7757,208.29,0.19791,0.06597,0.0147
2020-05-26,8841.18,6.708,200.89,0.19372,0.06506,0.01458
2020-05-25,8900.35,6.8067,204.15,0.19622,0.06624,0.01472
2020-05-24,8720.34,6.5819,199.9,0.19256,0.0639,0.01421
2020-05-23,9179.15,6.5575,206.6,0.19883,0.06713,0.01496
2020-05-22,9170.0,6.4632,207.36,0.20034,0.06811,0.01484
2020-05-21,9068.65,6.1255,198.74,0.19434,0.06644,0.01421
2020-05-20,9511.43,6.4513,209.98,0.20179,0.07093,0.015
2020-05-19,9775.53,6.6712,214.58,0.20496,0.06979,0.01553
2020-05-18,9733.93,6.712,214.91,0.20543,0.07027,0.01537
2020-05-17,9680.04,6.6575,207.0,0.20131,0.06873,0.015
2020-05-16,9381.27,6.6938,200.45,0.19969,0.06806,0.01497
2020-05-15,9316.42,6.5011,194.86,0.19818,0.06728,0.01488
2020-05-14,9791.98,6.2779,203.29,0.20386,0.06926,0.01527
2020-05-13,9309.37,6.2145,199.58,0.20177,0.06977,0.01501
2020-05-12,8810.79,6.0888,189.76,0.19711,0.07017,0.01455
2020-05-11,8561.52,6.0165,185.73,0.19254,0.06234,0.01398
2020-05-10,8722.77,6.1909,187.54,0.19702,0.06405,0.01426
2020-05-09,9539.4,7.0544,210.07,0.21642,0.07141,0.01609
2020-05-08,9800.01,7.1445,211.31,0.21865,0.07252,0.01627
2020-05-07,9986.4,7.09,212.0,0.21862,0.07207,0.01603
2020-05-06,9142.92,6.8379,198.97,0.21158,0.06962,0.01554
2020-05-05,9021.83,7.1905,205.29,0.21688,0.07208,0.0159
2020-05-04,8871.96,7.214,206.48,0.21776,0.07332,0.01623
2020-05-03,8894.16,7.2077,209.86,0.21936,0.073,0.01599
2020-05-02,8972.05,7.4719,213.9,0.22369,0.07552,0.01635
2020-05-01,8826.96,6.647,212.02,0.21786,0.0729,0.01581
2020-04-30,8620.0,6.4418,206.08,0.21135,0.06756,0.01519
2020-04-29,8778.57,6.7433,215.36,0.22648,0.07216,0.01624
2020-04-28,7738.98,6.1423,196.24,0.21416,0.06855,0.01528
2020-04-27,7774.62,6.103,196.34,0.19747,0.06719,0.01452
2020-04-26,7693.1,6.2159,197.38,0.19618,0.06188,0.01426
2020-04-25,7538.67,5.75,194.21,0.19418,0.06177,0.01396
2020-04-24,7505.0,5.5931,187.59,0.19325,0.06116,0.01392
2020-04-23,7482.39,5.6028,185.51,0.1926,0.06208,0.01361
2020-04-22,7125.14,5.3867,182.7,0.18804,0.05498,0.01298
2020-04-21,6841.37,5.1993,170.74,0.18341,0.05085,0.01249
2020-04-20,6826.83,5.2249,170.2,0.18151,0.04947,0.0124
2020-04-19,7120.74,5.4796,180.03,0.18901,0.0488,0.0129
2020-04-18,7248.6,5.6573,187.4,0.19544,0.05056,0.01339
2020-04-17,7027.55,5.3707,170.69,0.18863,0.04856,0.01289
2020-04-16,7101.94,5.4755,172.29,0.19053,0.04913,0.01302
2020-04-15,6621.24,5.1002,152.73,0.1805,0.04607,0.01219
2020-04-14,6868.7,5.2449,158.45,0.18613,0.04805,0.01245
2020-04-13,6837.91,5.1805,156.29,0.18763,0.04816,0.01257
2020-04-12,6903.79,5.3145,158.59,0.18939,0.04895,0.01266
2020-04-11,6876.83,5.2804,158.33,0.1885,0.04975,0.0125
2020-04-10,6858.92,5.2478,157.81,0.18758,0.0477,0.01248
2020-04-09,7283.54,5.8893,169.52,0.19829,0.05198,0.01345
2020-04-08,7361.28,5.8256,173.11,0.20192,0.05125,0.01376
2020-04-07,7197.32,5.4749,164.63,0.19285,0.04845,0.0133
2020-04-06,7329.9,5.6197,171.32,0.19803,0.04985,0.01375
2020-04-05,6772.78,5.0296,142.68,0.17925,0.0435,0.01257
2020-04-04,6856.99,5.1474,144.1,0.18114,0.04184,0.01197
2020-04-03,6734.1,5.1164,141.31,0.17957,0.0414,0.01194
2020-04-02,6794.09,5.0957,141.28,0.17828,0.04123,0.01196
2020-04-01,6642.92,5.0254,135.69,0.17494,0.04079,0.01158
2020-03-31,6410.44,4.9341,132.72,0.17353,0.04071,0.01157
2020-03-30,6394.38,4.9529,132.06,0.17112,0.04004,0.01145
2020-03-29,5881.42,4.8126,124.5,0.16278,0.03773,0.01066
2020-03-28,6236.65,4.8133,130.98,0.17543,0.03995,0.01139
2020-03-27,6359.11,4.9209,131.33,0.17269,0.0404,0.01121
2020-03-26,6737.36,5.0968,138.4,0.17593,0.04284,0.01196
2020-03-25,6677.43,5.0181,136.1,0.16168,0.04052,0.01139
2020-03-24,6744.72,5.0657,138.42,0.16225,0.04031,0.01151
2020-03-23,6467.31,4.9669,135.92,0.15854,0.03938,0.01137
2020-03-22,5816.19,4.5935,122.32,0.14776,0.03679,0.0103
2020-03-21,6186.98,5.008,132.66,0.15797,0.03956,0.01123
2020-03-20,6208.36,4.8869,133.48,0.15695,0.03995,0.01127
2020-03-19,6162.37,5.0403,136.3,0.1646,0.04134,0.01163
2020-03-18,5393.04,4.6039,118.11,0.1476,0.0369,0.01022
2020-03-17,5312.64,4.6047,115.67,0.14694,0.03718,0.01002
