ISO3A código economía declarante,Economía declarante,Economía asociada,Clasificación de productos/sectores,Producto/Sector,Período,Unidad,Año,Valor
CHN,China,Mundo,Clasificación Sistema Armonizado,Alcohol etilico sin desnaturalizar con grado alcohólico volumetrico superior o igual a 80% vol,Anual,Dólares EE.UU.,2018,158958927.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Peróxido de hidrógeno (agua oxigenada), incluso solidificado con urea",Anual,Dólares EE.UU.,2018,33698666.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,67972318.0
CHN,China,Mundo,Clasificación Sistema Armonizado,De tocador (incluso los medicinales),Anual,Dólares EE.UU.,2018,59096692.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, acondicionados para la venta al por menor, aunque contengan jabón",Anual,Dólares EE.UU.,2018,186238559.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Preparaciones acondicionadas para la venta al por menor,Anual,Dólares EE.UU.,2018,409037099.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Desinfectantes,Anual,Dólares EE.UU.,2018,146472456.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,6092816708.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Prendas y accesorios, de vestir (incluidos los guantes)",Anual,Dólares EE.UU.,2018,38260167.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Las demás,Anual,Dólares EE.UU.,2018,3296699585.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Para cirugia,Anual,Dólares EE.UU.,2018,9912431.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,227124839.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,146594351.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Esterilizadores médicos, quirúrgicos o de laboratorio",Anual,Dólares EE.UU.,2018,65638072.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,21223874.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Aparatos de diagnóstico mediante escáner,Anual,Dólares EE.UU.,2018,1185167619.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,358712434.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Jeringas incluso con agujas,Anual,Dólares EE.UU.,2018,202619677.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Agujas tubulares de metal y agujas de sutura,Anual,Dólares EE.UU.,2018,381404849.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,1849556403.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás instrumentos y aparatos,Anual,Dólares EE.UU.,2018,2907216871.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Aparatos de ozonoterapia, oxigenoterapia o aerosolterapia, aparatos respiratorios de reanimación y demás aparatos de terapia respiratoria",Anual,Dólares EE.UU.,2018,284920908.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Los demás aparatos respiratorios y máscaras antigás, excepto las máscaras de protección sin mecanismo ni elemento filtrante amovible.",Anual,Dólares EE.UU.,2018,64612156.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Aparatos de tomografía computarizados,Anual,Dólares EE.UU.,2018,785890460.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"Los demás, para uso médico, quirúrgico o veterinario",Anual,Dólares EE.UU.,2018,985307955.0
CHN,China,Mundo,Clasificación Sistema Armonizado,"De líquido, con lectura directa",Anual,Dólares EE.UU.,2018,3978162.0
CHN,China,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,340938669.0
CHN,China,Afganistán,Clasificación Sistema Armonizado,De tocador (incluso los medicinales),Anual,Dólares EE.UU.,2018,1415.0
CHN,China,Afganistán,Clasificación Sistema Armonizado,Las demás,Anual,Dólares EE.UU.,2018,2492.0
CHN,China,Afganistán,Clasificación Sistema Armonizado,Jeringas incluso con agujas,Anual,Dólares EE.UU.,2018,18.0
