ISO3A código economía declarante,Economía declarante,Economía asociada,Clasificación de productos/sectores,Producto/Sector,Período,Unidad,Año,Valor
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Alcohol etilico sin desnaturalizar con grado alcohólico volumetrico superior o igual a 80% vol,Anual,Dólares EE.UU.,2019,32505000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Peróxido de hidrógeno (agua oxigenada), incluso solidificado con urea",Anual,Dólares EE.UU.,2019,32903000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,24849000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,De tocador (incluso los medicinales),Anual,Dólares EE.UU.,2019,29546000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, acondicionados para la venta al por menor, aunque contengan jabón",Anual,Dólares EE.UU.,2019,104538000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Preparaciones acondicionadas para la venta al por menor,Anual,Dólares EE.UU.,2019,107279000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Desinfectantes,Anual,Dólares EE.UU.,2019,42967000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,1484285000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Prendas y accesorios, de vestir (incluidos los guantes)",Anual,Dólares EE.UU.,2019,17901000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Las demás,Anual,Dólares EE.UU.,2019,525423000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Para cirugia,Anual,Dólares EE.UU.,2019,5486000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,36555000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,90288000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Esterilizadores médicos, quirúrgicos o de laboratorio",Anual,Dólares EE.UU.,2019,6118000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,5978000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Aparatos de diagnóstico mediante escáner,Anual,Dólares EE.UU.,2019,31518000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,38959000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Jeringas incluso con agujas,Anual,Dólares EE.UU.,2019,26560000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Agujas tubulares de metal y agujas de sutura,Anual,Dólares EE.UU.,2019,25519000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,158577000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás instrumentos y aparatos,Anual,Dólares EE.UU.,2019,666081000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Aparatos de ozonoterapia, oxigenoterapia o aerosolterapia, aparatos respiratorios de reanimación y demás aparatos de terapia respiratoria",Anual,Dólares EE.UU.,2019,25128000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Los demás aparatos respiratorios y máscaras antigás, excepto las máscaras de protección sin mecanismo ni elemento filtrante amovible.",Anual,Dólares EE.UU.,2019,12065000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Aparatos de tomografía computarizados,Anual,Dólares EE.UU.,2019,38662000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"Los demás, para uso médico, quirúrgico o veterinario",Anual,Dólares EE.UU.,2019,38772000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,"De líquido, con lectura directa",Anual,Dólares EE.UU.,2019,835000.0
CHT,Taipei Chino,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,36910000.0
CHT,Taipei Chino,Argentina,Clasificación Sistema Armonizado,Desinfectantes,Anual,Dólares EE.UU.,2019,132000.0
CHT,Taipei Chino,Argentina,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2019,80000.0
