ISO3A código economía declarante,Economía declarante,Economía asociada,Clasificación de productos/sectores,Producto/Sector,Período,Unidad,Año,Valor
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Alcohol etilico sin desnaturalizar con grado alcohólico volumetrico superior o igual a 80% vol,Anual,Dólares EE.UU.,2018,644154539.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,"Peróxido de hidrógeno (agua oxigenada), incluso solidificado con urea",Anual,Dólares EE.UU.,2018,45776378.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,581492646.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,De tocador (incluso los medicinales),Anual,Dólares EE.UU.,2018,256293878.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,"Productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, acondicionados para la venta al por menor, aunque contengan jabón",Anual,Dólares EE.UU.,2018,438583557.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Preparaciones acondicionadas para la venta al por menor,Anual,Dólares EE.UU.,2018,510388636.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Desinfectantes,Anual,Dólares EE.UU.,2018,69239971.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,2365838975.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,"Prendas y accesorios, de vestir (incluidos los guantes)",Anual,Dólares EE.UU.,2018,1405289919.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Las demás,Anual,Dólares EE.UU.,2018,7803369804.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Para cirugia,Anual,Dólares EE.UU.,2018,393580856.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,2201637361.0
USA,Estados Unidos de América,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,4101261249.0
