ISO3A código economía declarante,Economía declarante,Economía asociada,Clasificación de productos/sectores,Producto/Sector,Período,Unidad,Año,Valor
MEX,México,Mundo,Clasificación Sistema Armonizado,Alcohol etilico sin desnaturalizar con grado alcohólico volumetrico superior o igual a 80% vol,Anual,Dólares EE.UU.,2018,84095166.0
MEX,México,Mundo,Clasificación Sistema Armonizado,"Peróxido de hidrógeno (agua oxigenada), incluso solidificado con urea",Anual,Dólares EE.UU.,2018,22879936.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,134232998.0
MEX,México,Mundo,Clasificación Sistema Armonizado,De tocador (incluso los medicinales),Anual,Dólares EE.UU.,2018,61847662.0
MEX,México,Mundo,Clasificación Sistema Armonizado,"Productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, acondicionados para la venta al por menor, aunque contengan jabón",Anual,Dólares EE.UU.,2018,44083631.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Preparaciones acondicionadas para la venta al por menor,Anual,Dólares EE.UU.,2018,72016045.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Desinfectantes,Anual,Dólares EE.UU.,2018,83464295.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,1189806393.0
MEX,México,Mundo,Clasificación Sistema Armonizado,"Prendas y accesorios, de vestir (incluidos los guantes)",Anual,Dólares EE.UU.,2018,56754870.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Las demás,Anual,Dólares EE.UU.,2018,4387505029.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Para cirugia,Anual,Dólares EE.UU.,2018,9549750.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,63236616.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,375334702.0
MEX,México,Mundo,Clasificación Sistema Armonizado,"Esterilizadores médicos, quirúrgicos o de laboratorio",Anual,Dólares EE.UU.,2018,12370249.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,41882754.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Aparatos de diagnóstico mediante escáner,Anual,Dólares EE.UU.,2018,45709179.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,247903777.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Jeringas incluso con agujas,Anual,Dólares EE.UU.,2018,64283315.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Agujas tubulares de metal y agujas de sutura,Anual,Dólares EE.UU.,2018,204244141.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás,Anual,Dólares EE.UU.,2018,668175342.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Los demás instrumentos y aparatos,Anual,Dólares EE.UU.,2018,1637759898.0
MEX,México,Mundo,Clasificación Sistema Armonizado,"Aparatos de ozonoterapia, oxigenoterapia o aerosolterapia, aparatos respiratorios de reanimación y demás aparatos de terapia respiratoria",Anual,Dólares EE.UU.,2018,107661525.0
MEX,México,Mundo,Clasificación Sistema Armonizado,"Los demás aparatos respiratorios y máscaras antigás, excepto las máscaras de protección sin mecanismo ni elemento filtrante amovible.",Anual,Dólares EE.UU.,2018,27234619.0
MEX,México,Mundo,Clasificación Sistema Armonizado,Aparatos de tomografía computarizados,Anual,Dólares EE.UU.,2018,31669514.0
