date,$2,$5,$10,$20,$50,$100,"$500 to$10,000",Total
01/06/2020,,,,,,,,1870
01/01/2019,,,,,,,,1773.8
01/01/2018,2.5,15.3,20.1,188.5,89.2,1343.5,0.3,1671.9
01/01/2017,2.4,14.8,19.6,183.8,86.4,1251.7,0.3,1571.1
01/01/2016,2.3,14.2,19.2,177.2,83.5,1154.8,0.3,1463.4
01/01/2015,2.3,13.7,19,171.3,79.8,1082.2,0.3,1380
01/01/2014,2.2,13.1,18.9,162.2,76.9,1014.5,0.3,1299.1
01/01/2013,2.1,12.7,18.5,155,74.5,924.7,0.3,1198.3
01/01/2012,2,12.2,17.7,148.9,72.5,863.1,0.3,1127.1
01/01/2011,1.9,11.8,17.2,141.1,69.6,782.6,0.3,1034.5
01/01/2010,1.8,11.5,16.6,130.6,66.9,704.6,0.3,942
01/01/2009,1.7,11.2,16.2,127.5,65.3,656.4,0.3,888.3
01/01/2008,1.7,11,16.3,125.1,64.7,625,0.3,853.2
01/01/2007,1.6,10.8,16.2,121.8,63,569.3,0.3,792.2
01/01/2006,1.5,10.5,16,119.2,62.8,564.1,0.3,783.5
01/01/2005,1.5,10.3,15.5,115.4,62.1,545,0.3,758.8
01/01/2004,1.4,9.8,15.1,107.6,60.6,516.7,0.3,719.9
01/01/2003,1.3,9.7,15.1,107.8,59.9,487.8,0.3,690.2
01/01/2002,1.3,9.4,14.9,103.7,58.5,458.7,0.3,654.8
01/01/2001,1.3,9.2,14.7,100.9,57,421.1,0.3,612.3
01/01/2000,1.2,8.9,14.5,98.6,55,377.7,0.3,563.9
01/01/1999,1.2,9,16.2,116.1,64.7,386.2,0.3,601.2
01/01/1998,1.2,8,14.3,90.9,50.5,320.1,0.3,492.2
