,book_authors,book_desc,book_edition,book_format,book_isbn,book_pages,book_rating,book_rating_count,book_review_count,book_title,book_genres,image_url,gen_1,gen_2,gen_3,gen_4
50,J.K. Rowling|Mary GrandPré,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.",,Hardcover,9.78044E+12,320,4.46,5588580,88816,Harry Potter and the Sorcerer's Stone,Fantasy|Young Adult|Fiction,https://images.gr-assets.com/books/1474154022l/3.jpg,Fantasy,Young Adult,Fiction,
44271,Suzanne Collins,"
Ganar significa fama y fortuna. Perder significa una muerte segura. Los Juegos del Hambre han comenzado... 
Un pasado de guerras ha dejado los 12 distritos que dividen Panem bajo el poder tiránico del “Capitolio”. Sin libertad y en la pobreza, nadie puede salir de los límites de su distrito. Sólo una chica de 16 años, Katniss Everdeen, osa desafiar las normas para conseguir comida. Sus principios se pondrán a prueba con “Los juegos del hambre”, espectáculo televisado que el Capitolio organiza para humillar a la población. Cada año, 2 representantes de cada distrito serán obligados a subsistir en un medio hostil y luchar a muerte entre ellos hasta que quede un solo superviviente. Cuando su hermana pequeña es elegida para participar, Katniss no duda en ocupar su lugar, decidida a demostrar con su actitud firme y decidida, que aún en las situaciones más desesperadas hay lugar para el amor y el respeto.",,Paperback,9.7885E+12,396,4.33,5523413,160776,Los juegos del hambre,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction|Romance|Adventure|Young Adult|Teen|Apocalyptic|Post Apocalyptic|Action,https://images.gr-assets.com/books/1335891621l/6596839.jpg,Young Adult,Fiction,Science Fiction,Dystopia
28154,Suzanne Collins|Ina Jakaitė,"LAIMĖJIMAS ATNEŠ ŠLOVĘ IR TURTĄ.PRALAIMĖJIMAS MIRTĮ.BADO ŽAIDYNĖS PASIDEDA... Ar įmanoma išgyventi laukinėje gamtoje, kai varžovai stengiasi tave nugalabyti?Ant kadaise buvusių Šiaurės Amerikos valstijų griuvėsių įkurta Panemo valstybė, sudaryta iš dvylikos apygardų. Šalį griežtai ir negailestingai valdo Sostinė, ji verčia apygardas paklusti, kasmet reikalauja atsiųsti po vieną vaikiną ir merginą dalyvauti Bado žaidynėse, žiauriame realybės šou, kuriame kaunamasi iki mirties.Šešiolikmetė Ketnė Everdin pasiryžta tapti paaukotąja vietoj savo dvylikametės sesutės Primos. Mergina yra užgrūdinta gyvenimo, nes po tėvo mirties jai teko išmaitinti šeimą. Ketnė - tikra kovotoja, sumani, apdairi, puiki šaulė. Šios savybės leidžia jai siekti pergalės Bado žaidynėse. Tačiau jai teks rinktis tarp noro išgyventi ir žmogiškumo, tarp pergalės ir meilės.",,Hardcover,,352,4.33,5522714,160768,Bado žaidynės,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1303117363l/11143580.jpg,Young Adult,Fiction,Science Fiction,Dystopia
25990,Suzanne Collins|Sevinç Tezcan Yanar,"Etkileyici bir fantastik dünya, bitmek bilmeyen bir aksiyon Açlık Oyunları'nda bir sonraki sayfaya geçmek için sabırsızlanacaksınız.Etrafınızdaki başka herkes sabahı göremeyeceğinizden eminken vahşi bir ortamda kendi başınıza hayatta kalabilir misiniz?Kazanmak ün ve talih, kaybetmek ise kesin ölüm anlamına gelir. Bu oyunun galibinin karnı doyacak, kaybeden ise ilümle tanışacak...Açlık oyunları başlasın...",,Paperback,9.78606E+12,384,4.33,5522513,160762,Açlık Oyunları,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1275904617l/8409352.jpg,Young Adult,Fiction,Science Fiction,Dystopia
21895,Suzanne Collins|Fabio Paracchini|Simona Brogli,"Quando Katniss urla ""Mi offro volontaria, mi offro volontaria come tributo!"" sa di aver appena firmato la sua condanna a morte. È il giorno dell'estrazione dei partecipanti agli Hunger Games, un reality show organizzato ogni anno da Capitol City con una sola regola: uccidi o muori. Ognuno dei Distretti deve sorteggiare un ragazzo e una ragazza tra i 12 e i 18 anni che verrà gettato nell'Arena a combattere fino alla morte. Ne sopravvive uno solo, il più bravo, il più forte, ma anche quello che si conquista il pubblico, gli sponsor, l'audience. Katniss appartiene al Distretto 12, quello dei minatori, quello che gli Hunger Games li ha vinti solo due volte in 73 edizioni, e sa di aver poche possibilità di farcela. Ma si è offerta al posto di sua sorella minore e farà di tutto per tornare da lei. Da quando è nata ha lottato per vivere e lo farà anche questa volta. Nella sua squadra c'è anche Peeta, un ragazzo gentile che però non ha la stoffa per farcela. Lui è determinato a mantenere integri i propri sentimenti e dichiara davanti alle telecamere di essere innamorato di Katniss. Ma negli Hunger Games non esistono gli amici, non esistono gli affetti, non c'è spazio per l'amore. Bisogna saper scegliere e, soprattutto, per vincere bisogna saper perdere, rinunciare a tutto ciò che ti rende Uomo.",Chrysalide,Hardcover,9.7888E+12,369,4.33,5522483,160762,Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1335446608l/13562614.jpg,Young Adult,Fiction,Science Fiction,Dystopia
21678,Suzanne Collins,"Winning will make you famous. Losing means certain death.The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives. , she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.",,Paperback,9.78044E+12,374,4.33,5522458,160762,The Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1327962782l/7285601.jpg,Young Adult,Fiction,Science Fiction,Dystopia
22255,Suzanne Collins,"Sometime in the future after the destruction of North America in a nation known as Panem, the 74th Hunger Games begins.As punishment for a previous rebellion against the Capitol, every year, one boy and one girl between the ages of 12 and 18 from each district are selected by lottery and forced to participate in the Hunger Games, a televised event in which the participants, or ""tributes,"" must fight to the death in a dangerous, outdoor arena, controlled by the Capitol, until only one remains. The difference this year is District 12 has had it's first volunteer probably in the whole history of the District... Katniss Everdeen, who volunteered to take the place of her younger sister, Prim; and she's already making an impression.",,Paperback,,436,4.33,5522232,160760,The Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1311332303l/12091570.jpg,Young Adult,Fiction,Science Fiction,Dystopia
21726,Suzanne Collins|Maria Postema,"Katniss Everdeen woont in het 12e en armste district van Panem, het land dat ooit bekendstond als Noord-Amerika. Met haar moeder en haar zusje Prim leidt ze een armoedig leven, getekend door het keiharde regime van het welvarende Capitool. Jaarlijks worden de Hongerspelen uitgevaardigd: 24 door loting aangewezen tributen, een jongen en een meisje uit elk district, gaan een strijd op leven en dood met elkaar aan. En dit jaar wordt Prim uitgeloot... Katniss weet dat de Hongerspelen een doodvonnis voor haar jonge zusje betekenen en besluit haar plek in te nemen. Onder het oog van de hele bevolking van Panem, die de strijd als bron van vermaak volgt, begeeft ze zich in de gemanipuleerde arena.Gevangen in een meedogenloos web van bruut geweld, gemanipuleerde tv-beelden en corrupte politici komt Katniss voor de keus staan: hoe ver zal ze gaan om te overleven?",,Paperback,9.78905E+12,339,4.33,5522182,160760,De Hongerspelen,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1300957619l/10857048.jpg,Young Adult,Fiction,Science Fiction,Dystopia
14936,Suzanne Collins,"Winning will make you famous.Losing means certain death.In a dark vision of the near future, twelve boys and twelve girls are forced to appear in a live TV show called the Hunger Games. There is only one rule: kill or be killed.When sixteen-year-old Katniss Everdeen steps forward to take her sister's place in the games, she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.May the odds be ever in your favour.",,Paperback,9.78141E+12,454,4.33,5521568,160750,The Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction|Romance|Adventure|Young Adult|Teen|Apocalyptic|Post Apocalyptic|Action,https://images.gr-assets.com/books/1327089453l/12885649.jpg,Young Adult,Fiction,Science Fiction,Dystopia
0,Suzanne Collins,"Winning will make you famous. Losing means certain death.The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives. , she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.",,Hardcover,9.78044E+12,374,4.33,5519135,160706,The Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1447303603l/2767052.jpg,Young Adult,Fiction,Science Fiction,Dystopia
