,movie_name,movie_year,movie_runtime,movie_rating,movie_metascore,movie_genre,movie_votes,movie_gross,movie_certificate,movie_synopsis,gen_1,gen_2,gen_3
599,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,80,"Action, Adventure, Sci-Fi            ","873,037",936.66,PG-13,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Action,Adventure,Sci-Fi
63,Avengers: Endgame,2019,181,8.4,78,"Action, Adventure, Drama            ","883,848",858.37,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Action,Adventure,Drama
635,Avatar,2009,162,7.8,83,"Action, Adventure, Fantasy            ","1,137,994",760.51,PG-13,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Action,Adventure,Fantasy
64,Avengers: Infinity War,2018,149,8.4,68,"Action, Adventure, Sci-Fi            ","883,604",678.82,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Action,Adventure,Sci-Fi
661,Titanic,1997,194,7.8,75,"Drama, Romance            ","1,071,671",659.33,PG-13,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Drama,Romance,
368,The Avengers,2012,143,8,69,"Action, Adventure, Sci-Fi            ","1,284,555",623.28,PG-13,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Action,Adventure,Sci-Fi
902,Incredibles 2,2018,118,7.6,80,"Animation, Action, Adventure            ","259,816",608.58,PG,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Animation,Action,Adventure
3,The Dark Knight,2008,152,9,84,"Action, Crime, Drama            ","2,363,656",534.86,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action,Crime,Drama
592,Rogue One: A Star Wars Story,2016,133,7.8,65,"Action, Adventure, Sci-Fi            ","569,108",532.18,PG-13,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,Action,Adventure,Sci-Fi
67,The Dark Knight Rises,2012,164,8.4,78,"Action, Adventure            ","1,549,270",448.14,PG-13,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Action,Adventure,
