date,JPM,BAC,WFC,C,GS,JPM_Close,BAC_Close,WFC_Close,C_Close,GS_Close,JPM_Vol,BAC_Vol,WFC_Vol,C_Vol,GS_Vol,JPM_High,BAC_High,WFC_High,C_High,GS_High,JPM_Low,BAC_Low,WFC_Low,C_Low,GS_Low,JPM_Div,BAC_Div,WFC_Div,C_Div,GS_Div
2020-06-05,111.23,28.11,31.67,58.86,217.92,111.23,28.11,31.67,58.86,217.92,42221859.0,118686441.0,107597896.0,44619609.0,4736613.0,115.77,29.01,33.89,62.47,222.98,109.53,27.88,31.46,58.34,217.66,0.0,0.0,0.0,0.0,0.0
2020-06-04,106.44,26.78,30.22,55.65,214.82,106.44,26.78,30.22,55.65,214.82,26767072.0,94415472.0,61715793.0,33058437.0,3520905.0,106.61,26.83,30.25,55.69,214.99,102.79,25.57,28.64,52.61,207.96,0.0,0.18,0.0,0.0,0.0
2020-06-03,104.27,25.8165,28.83,53.34,210.57,104.27,25.99,28.83,53.34,210.57,25912786.0,86567025.0,50728856.0,33292337.0,3468156.0,104.92,26.14,29.19,53.76,211.93,101.06,25.385,28.34,52.42,206.43,0.0,0.0,0.0,0.0,0.0
2020-06-02,98.93,24.6742,27.4,50.84,204.14,98.93,24.84,27.4,50.84,204.14,21179324.0,70987997.0,38962685.0,27607503.0,4127148.0,100.42,25.39,27.99,51.29,206.5,97.9276,24.56,27.16,50.16,201.32,0.0,0.0,0.0,0.0,0.0
2020-06-01,98.6,24.4457,27.09,49.45,199.93,98.6,24.61,27.09,49.45,199.93,15175467.0,58374271.0,34199856.0,22859836.0,2230846.0,99.5115,24.87,27.59,49.68,201.77,97.38,24.05,26.37,47.82,195.12,0.0,0.0,0.0,0.0,0.0
2020-05-29,97.31,23.959,26.47,47.91,196.49,97.31,24.12,26.47,47.91,196.49,26524824.0,113805249.0,51327514.0,35872698.0,3822562.0,99.18,24.91,27.07,49.48,200.92,96.775,24.06,26.09,47.56,194.65,0.0,0.0,0.0,0.0,1.25
2020-05-28,99.86,24.694,27.22,49.16,199.948,99.86,24.86,27.22,49.16,201.22,24710215.0,84327068.0,51487746.0,37969920.0,4883897.0,102.95,26.14,28.37,53.01,211.31,99.4,24.79,27.12,49.11,201.21,0.0,0.0,0.0,0.0,0.0
2020-05-27,101.37,25.8065,27.95,52.26,208.3346,101.37,25.98,27.95,52.26,209.66,39352961.0,117473564.0,61869614.0,43617461.0,8173595.0,102.58,26.17,28.26,52.39,210.71,98.8,24.97,26.835,49.86,200.01,0.0,0.0,0.0,0.0,0.0
2020-05-26,95.82,24.1179,26.26,48.17,194.8206,95.82,24.28,26.26,48.17,196.06,41212819.0,119384595.0,57647835.0,34399989.0,5967436.0,97.5,24.6,26.51,48.9,197.1,92.61,23.67,25.04,45.98,185.22,0.0,0.0,0.0,0.0,0.0
2020-05-22,89.47,22.5087,24.17,44.1,178.7926,89.47,22.66,24.17,44.1,179.93,13548471.0,48083035.0,30377682.0,22624031.0,2174148.0,90.36,22.9502,24.49,45.045,180.64,88.72,22.46,23.92,43.69,178.06,0.0,0.0,0.0,0.0,0.0
