date,AAPL,FB,AMZN,MSFT,GOOG,TSLA,AAPL_Close,FB_Close,AMZN_Close,MSFT_Close,GOOG_Close,TSLA_Close,AAPL_Vol,FB_Vol,AMZN_Vol,MSFT_Vol,GOOG_Vol,TSLA_Vol,AAPL_High,FB_High,AMZN_High,MSFT_High,GOOG_High,TSLA_High,AAPL_Low,FB_Low,AMZN_Low,MSFT_Low,GOOG_Low,TSLA_Low,AAPL_Div,FB_Div,AMZN_Div,MSFT_Div,GOOG_Div,TSLA_Div
2020-06-05,331.5,230.77,2483.0,187.2,1438.39,885.66,331.5,230.77,2483.0,187.2,1438.39,885.66,34312550.0,16750438.0,3306445.0,39893643.0,1735244.0,7811917.0,331.75,231.35,2488.64,187.73,1445.05,886.52,323.23,225.3105,2437.13,182.01,1406.0,866.2,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,322.32,226.29,2460.6,182.92,1412.18,864.38,322.32,226.29,2460.6,182.92,1412.18,864.38,21890091.0,17041481.0,2948710.0,28761809.0,1484272.0,8887713.0,325.62,231.63,2507.54,185.84,1438.96,895.75,320.78,224.61,2450.01,182.3,1404.73,858.44,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,325.12,230.16,2478.4,185.36,1436.38,882.96,325.12,230.16,2478.4,185.36,1436.38,882.96,26122804.0,15380282.0,2671024.0,27311016.0,1256186.0,7949469.0,326.2,232.65,2488.0,185.94,1446.55,897.94,322.3,228.53,2461.17,183.58,1429.78,880.1,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,323.34,232.72,2472.41,184.91,1439.22,881.56,323.34,232.72,2472.41,184.91,1439.22,881.56,21910704.0,20919018.0,2529903.0,30794585.0,1278128.0,13565596.0,323.44,233.0,2473.53,185.0,1439.61,908.66,318.93,226.56,2445.31,181.35,1418.83,871.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,321.85,231.91,2471.04,182.83,1431.82,898.1,321.85,231.91,2471.04,182.83,1431.82,898.1,20254653.0,18223839.0,2938032.0,22668821.0,1217140.0,15085297.0,322.35,232.44,2476.93,183.0,1437.96,899.0,317.21,223.5,2444.17,181.46,1418.0,854.1,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,317.94,225.09,2442.37,183.25,1428.92,835.0,317.94,225.09,2442.37,183.25,1428.92,835.0,38399532.0,23322476.0,3529329.0,42146720.0,1838059.0,11812489.0,321.15,227.49,2442.37,184.27,1432.57,835.0,316.47,222.88,2398.2,180.41,1413.35,804.21,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,318.25,225.46,2401.1,181.4,1416.73,805.81,318.25,225.46,2401.1,181.4,1416.73,805.81,33449103.0,29423013.0,3193136.0,33831824.0,1693976.0,7275774.0,323.44,231.6332,2436.97,184.1474,1440.84,824.75,315.63,224.0,2378.23,180.38,1396.0,801.69,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,318.11,229.14,2410.39,181.81,1417.84,820.23,318.11,229.14,2410.39,181.81,1417.84,820.23,28236274.0,34697553.0,5056945.0,39517146.0,1686142.0,11549530.0,318.71,230.56,2413.58,181.9877,1421.74,827.71,313.09,221.1347,2330.0,176.6,1391.29,785.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,316.73,232.2,2421.86,181.57,1417.02,818.87,316.73,232.2,2421.86,181.57,1417.02,818.87,31380454.0,33178318.0,3568153.0,36073609.0,2060643.0,8089736.0,324.24,240.9,2462.0,186.5,1441.0,834.6,316.5,231.67,2414.06,181.1,1412.13,815.705,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,318.89,234.91,2436.88,183.51,1410.42,816.88,318.89,234.91,2436.88,183.51,1410.42,816.88,20450754.0,33925564.0,2867079.0,20826898.0,1309408.0,9987475.0,319.23,235.99,2469.85,184.46,1412.76,831.78,315.35,228.74,2430.13,182.54,1391.83,812.0,0.0,0.0,0.0,0.0,0.0,0.0
