date,Outstanding Shares Millions,Oustanding Shres,Company,Share Price,Market Capital
31/03/2020,"8,863",8863000000,Bank Of America,28.11," 249,138,930,000.00 "
31/12/2019,"9,443",9443000000,Bank Of America,,
30/09/2019,"9,353",9353000000,Bank Of America,,
30/06/2019,"9,560",9560000000,Bank Of America,,
31/03/2019,"9,787",9787000000,Bank Of America,,
31/12/2018,"10,237",10237000000,Bank Of America,,
30/09/2018,"10,171",10171000000,Bank Of America,,
30/06/2018,"10,309",10309000000,Bank Of America,,
31/03/2018,"10,473",10473000000,Bank Of America,,
31/12/2017,"10,778",10778000000,Bank Of America,,
30/09/2017,"10,747",10747000000,Bank Of America,,
30/06/2017,"10,835",10835000000,Bank Of America,,
31/03/2017,"10,920",10920000000,Bank Of America,,
31/12/2016,"11,047",11047000000,Bank Of America,,
30/09/2016,"11,000",11000000000,Bank Of America,,
30/06/2016,"11,059",11059000000,Bank Of America,,
31/03/2016,"11,100",11100000000,Bank Of America,,
31/12/2015,"11,236",11236000000,Bank Of America,,
30/09/2015,"11,197",11197000000,Bank Of America,,
30/06/2015,"11,238",11238000000,Bank Of America,,
31/03/2015,"11,267",11267000000,Bank Of America,,
31/12/2014,"10,585",10585000000,Bank Of America,,
30/09/2014,"10,516",10516000000,Bank Of America,,
30/06/2014,"11,265",11265000000,Bank Of America,,
31/03/2014,"10,561",10561000000,Bank Of America,,
31/12/2013,"11,491",11491000000,Bank Of America,,
30/09/2013,"11,482",11482000000,Bank Of America,,
30/06/2013,"11,525",11525000000,Bank Of America,,
31/03/2013,"11,155",11155000000,Bank Of America,,
31/12/2012,"10,841",10841000000,Bank Of America,,
30/09/2012,"10,776",10776000000,Bank Of America,,
30/06/2012,"11,556",11556000000,Bank Of America,,
31/03/2012,"10,762",10762000000,Bank Of America,,
31/12/2011,"10,255",10255000000,Bank Of America,,
30/09/2011,"10,464",10464000000,Bank Of America,,
30/06/2011,"10,095",10095000000,Bank Of America,,
31/03/2011,"10,181",10181000000,Bank Of America,,
31/12/2010,"9,790",9790000000,Bank Of America,,
30/09/2010,"9,976",9976000000,Bank Of America,,
30/06/2010,"10,030",10030000000,Bank Of America,,
31/03/2010,"10,005",10005000000,Bank Of America,,
31/12/2009,"7,729",7729000000,Bank Of America,,
30/09/2009,"8,634",8634000000,Bank Of America,,
30/06/2009,"7,270",7270000000,Bank Of America,,
31/03/2009,"6,393",6393000000,Bank Of America,,
31/12/2008,"4,596",4596000000,Bank Of America,,
30/09/2008,"4,548",4548000000,Bank Of America,,
30/06/2008,"4,444",4444000000,Bank Of America,,
31/03/2008,"4,461",4461000000,Bank Of America,,
31/12/2007,"4,463",4463000000,Bank Of America,,
30/09/2007,"4,476",4476000000,Bank Of America,,
30/06/2007,"4,477",4477000000,Bank Of America,,
31/03/2007,"4,497",4497000000,Bank Of America,,
31/12/2006,"4,596",4596000000,Bank Of America,,
30/09/2006,"4,571",4571000000,Bank Of America,,
30/06/2006,"4,601",4601000000,Bank Of America,,
31/03/2006,"4,666",4666000000,Bank Of America,,
31/12/2005,"4,068",4068000000,Bank Of America,,
30/09/2005,"4,055",4055000000,Bank Of America,,
30/06/2005,"4,065",4065000000,Bank Of America,,
31/03/2005,"4,099",4099000000,Bank Of America,,
31/03/2020,"3,101",3101000000,JP Morgan,111.23," 344,924,230,000.00 "
31/12/2019,"3,230",3230000000,JP Morgan,,
30/09/2019,"3,207",3207000000,JP Morgan,,
30/06/2019,"3,260",3260000000,JP Morgan,,
31/03/2019,"3,308",3308000000,JP Morgan,,
31/12/2018,"3,414",3414000000,JP Morgan,,
