Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
49ers,438.6,1782.3,4.0,12.2,9.9,1.4,44.6,96.7,21.7,6.9,2015.0
Bears,415.4,1786.8,4.3,12.0,10.0,2.2,59.4,90.6,21.6,7.1,2015.0
Bengals,431.9,1857.3,4.3,12.9,10.8,2.1,56.2,99.9,23.0,5.2,2015.0
Bills,442.0,1962.8,4.5,16.0,14.1,2.0,62.2,108.6,24.5,7.6,2015.0
Broncos,426.0,1658.8,3.9,10.4,9.7,1.9,58.4,83.9,19.6,5.1,2015.0
Browns,477.6,2076.1,4.4,14.9,13.2,1.8,60.1,114.6,24.0,6.1,2015.0
Buccaneers,433.6,1769.2,4.1,15.3,11.4,1.7,55.8,100.9,23.1,6.7,2015.0
Cardinals,433.2,1786.8,4.1,12.4,11.7,1.8,56.4,93.3,21.3,6.0,2015.0
Chargers,416.6,1819.6,4.4,13.0,12.2,2.6,58.2,98.1,23.6,6.3,2015.0
Chiefs,439.4,1978.4,4.5,11.4,10.2,1.6,49.3,104.7,23.9,6.0,2015.0
Colts,442.9,1924.1,4.3,13.6,12.4,2.1,58.8,100.3,22.6,6.6,2015.0
Cowboys,407.3,1710.8,4.2,13.3,9.2,1.1,54.3,95.1,23.3,5.1,2015.0
Dolphins,460.8,1969.3,4.3,12.9,12.4,2.3,55.2,102.0,22.1,6.0,2015.0
Eagles,411.1,1702.9,4.2,11.3,11.6,2.6,60.3,86.4,21.0,6.6,2015.0
Falcons,411.8,1820.1,4.4,14.9,11.3,2.4,61.7,102.0,24.8,7.1,2015.0
Giants,443.8,1879.2,4.2,13.7,10.9,1.9,55.0,101.1,22.8,7.6,2015.0
Jaguars,466.0,1937.2,4.2,16.4,11.2,3.2,72.3,102.6,21.9,6.1,2015.0
Jets,431.6,1670.1,3.8,12.1,11.0,2.3,66.8,81.8,18.9,7.6,2015.0
Lions,407.1,1729.9,4.2,12.1,10.4,3.7,63.0,89.6,21.9,6.3,2015.0
Packers,422.1,1850.7,4.4,12.6,10.6,1.8,55.6,97.9,23.2,6.0,2015.0
Panthers,393.1,1714.0,4.3,13.3,12.1,2.8,64.0,93.3,23.5,6.3,2015.0
Patriots,400.8,1720.2,4.3,8.2,7.3,1.2,50.3,91.1,22.7,8.6,2015.0
Raiders,438.0,1870.4,4.3,15.2,10.9,3.4,61.0,97.2,22.2,5.2,2015.0
Rams,437.9,1880.8,4.3,14.0,13.0,2.9,62.1,97.2,22.2,7.7,2015.0
Ravens,408.0,1582.0,3.9,10.6,7.1,1.3,55.0,81.7,20.1,7.1,2015.0
Redskins,430.2,1903.3,4.4,14.2,11.3,2.4,62.2,101.0,23.5,8.2,2015.0
Saints,395.7,1804.2,4.5,13.7,13.3,3.0,58.7,92.2,23.2,6.3,2015.0
Seahawks,405.8,1631.7,4.0,11.2,8.3,1.2,56.3,85.8,21.2,7.3,2015.0
Steelers,395.3,1616.0,4.1,10.9,8.3,1.8,58.9,89.2,22.5,7.1,2015.0
Texans,406.1,1659.3,4.1,9.7,10.9,1.4,55.0,85.8,21.1,6.7,2015.0
Titans,440.6,1804.8,4.1,12.6,8.3,1.9,60.9,99.1,22.3,5.6,2015.0
Vikings,420.2,1717.0,4.1,10.1,7.4,1.8,63.0,88.9,21.0,6.7,2015.0
