Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
49ers,460.2,2038.2,4.4,14.0,13.7,2.6,61.1,104.8,22.7,8.6,2015.0
Bears,424.2,1780.8,4.2,11.3,10.9,2.3,47.2,97.3,23.0,6.6,2015.0
Bengals,432.4,1729.3,4.0,13.0,9.0,1.7,49.2,95.4,22.1,5.3,2015.0
Bills,466.9,2116.0,4.5,14.9,15.7,3.1,60.1,109.1,23.3,9.1,2015.0
Broncos,445.7,1860.6,4.2,12.8,10.2,1.2,51.6,98.1,21.9,6.2,2015.0
Browns,394.9,1664.9,4.2,10.7,10.1,2.0,59.3,84.1,21.4,6.7,2015.0
Buccaneers,403.3,1617.1,4.0,9.9,9.0,2.1,56.6,80.7,20.1,6.3,2015.0
Cardinals,396.8,1560.4,3.9,12.1,9.0,1.9,56.9,81.3,20.5,6.9,2015.0
Chargers,411.8,1605.1,3.9,9.7,9.2,1.4,51.7,88.9,21.6,5.6,2015.0
Chiefs,429.3,1931.2,4.5,14.1,13.3,2.7,62.4,100.8,23.6,6.1,2015.0
Colts,420.1,1688.3,4.0,11.4,8.0,1.1,47.4,93.1,22.0,5.7,2015.0
Cowboys,431.3,1944.7,4.5,13.6,12.7,2.7,57.1,105.4,24.3,6.9,2015.0
Dolphins,387.3,1633.7,4.2,10.2,10.4,2.4,68.0,78.8,20.3,8.1,2015.0
Eagles,449.1,1987.6,4.4,14.8,13.0,2.1,56.0,113.0,25.2,9.6,2015.0
Falcons,389.8,1587.9,4.1,12.7,9.4,2.2,55.0,86.8,22.2,4.7,2015.0
Giants,395.7,1569.9,4.0,11.1,8.7,1.9,52.6,80.3,20.4,5.0,2015.0
Jaguars,407.0,1669.9,4.1,7.9,9.4,2.6,60.1,84.2,20.8,7.4,2015.0
Jets,447.0,1808.6,4.0,11.1,9.7,1.7,55.7,92.1,20.5,7.3,2015.0
Lions,385.1,1502.8,3.9,10.7,7.0,1.0,53.1,79.0,20.4,6.9,2015.0
Packers,406.9,1783.3,4.4,12.9,9.8,2.0,54.9,97.2,24.0,5.1,2015.0
Panthers,459.3,2079.0,4.5,17.6,12.3,3.0,64.1,117.3,25.5,6.8,2015.0
Patriots,456.3,1849.4,4.0,17.7,8.3,1.0,40.3,112.0,24.4,4.3,2015.0
Raiders,401.6,1691.6,4.2,11.0,12.3,2.8,67.8,85.3,21.1,7.4,2015.0
Rams,417.6,1739.9,4.1,13.1,10.4,2.2,55.0,89.1,21.2,6.4,2015.0
Ravens,458.6,1975.3,4.2,14.1,12.4,2.3,54.2,110.8,23.7,6.8,2015.0
Redskins,416.9,1805.0,4.3,12.9,10.4,1.7,57.8,92.1,21.9,8.7,2015.0
Saints,413.2,1784.6,4.3,16.2,10.3,1.8,56.1,101.4,24.4,3.3,2015.0
Seahawks,482.3,2170.3,4.5,13.6,12.4,2.4,60.4,114.4,23.5,7.4,2015.0
Steelers,404.1,1624.2,4.0,11.6,8.7,1.4,50.3,89.1,22.1,5.8,2015.0
Texans,477.9,1993.0,4.2,12.0,10.0,2.3,59.8,103.0,21.6,6.4,2015.0
Titans,417.9,1801.9,4.3,13.3,11.0,2.2,71.4,89.7,21.3,6.6,2015.0
Vikings,439.8,1981.8,4.5,15.4,15.8,3.8,68.1,97.6,22.1,6.7,2015.0
