Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year,Category,Team
Redskins,636,393,61.8,7.4,4511,31,21,87,223,35.1,58,11,85T,32,2012,passing,defense
Buccaneers,627,410,65.4,7.9,4758,30,18,93.5,226,36,69,11,80T,27,2012,passing,defense
Seahawks,564,327,58,6.2,3250,15,18,71.8,186,33,40,5,56,36,2012,passing,defense
49ers,567,337,59.4,6.1,3203,19,14,78,178,31.4,38,7,53,38,2012,passing,defense
Chargers,568,347,61.1,6.9,3681,28,14,87.9,201,35.4,45,11,55,38,2012,passing,defense
Steelers,523,299,57.2,6,2963,19,10,79,169,32.3,31,2,71T,37,2012,passing,defense
Cardinals,497,270,54.3,6.9,3213,20,22,71.2,160,32.2,48,8,80T,38,2012,passing,defense
Eagles,485,292,60.2,7.6,3470,33,8,99.6,178,36.7,52,11,63T,30,2012,passing,defense
Jets,494,266,53.8,6.5,3036,20,11,78.2,161,32.6,42,4,83T,30,2012,passing,defense
Giants,534,341,63.9,8.1,4068,26,21,88.7,196,36.7,60,13,62T,33,2012,passing,defense
Saints,602,370,61.5,8.1,4681,31,15,93.8,236,39.2,66,14,95,30,2012,passing,defense
Patriots,594,369,62.1,7.7,4342,27,20,86.9,207,34.8,74,8,68T,37,2012,passing,defense
Vikings,612,391,63.9,6.8,3908,28,10,92.3,229,37.4,44,5,73,44,2012,passing,defense
Dolphins,600,353,58.8,7,3974,18,10,83.4,215,35.8,60,6,66,42,2012,passing,defense
Raiders,526,347,66,7.5,3775,28,11,97.5,180,34.2,56,12,64,25,2012,passing,defense
Rams,547,362,66.2,7.2,3602,16,17,83.9,197,36,36,7,68T,52,2012,passing,defense
Chiefs,464,279,60.1,8,3533,29,7,99.9,176,37.9,51,10,62T,27,2012,passing,defense
Jaguars,535,341,63.7,7.4,3832,21,12,89.8,194,36.3,48,8,59,20,2012,passing,defense
Colts,535,334,62.4,7.4,3788,23,12,90.1,190,35.5,44,9,80T,32,2012,passing,defense
Texans,581,308,53,6.7,3612,29,15,80,167,28.7,54,11,81T,44,2012,passing,defense
Titans,564,374,66.3,7.5,3964,31,19,92.7,210,37.2,55,7,82T,39,2012,passing,defense
Packers,568,313,55.1,6.7,3492,24,18,76.8,191,33.6,50,7,80T,47,2012,passing,defense
Lions,544,346,63.6,7,3569,26,11,91.7,167,30.7,42,13,71T,34,2012,passing,defense
Broncos,559,321,57.4,6.4,3194,25,16,79.4,183,32.7,39,9,61T,52,2012,passing,defense
Cowboys,511,320,62.6,7.6,3684,22,7,94.7,195,38.2,52,9,68T,34,2012,passing,defense
Browns,600,378,63,6.9,3923,27,17,86.6,203,33.8,43,8,64T,38,2012,passing,defense
Bengals,560,346,61.8,6.7,3400,16,14,80.7,183,32.7,51,5,71T,51,2012,passing,defense
Bears,592,350,59.1,6.3,3423,19,24,71.3,186,31.4,47,4,62,41,2012,passing,defense
Panthers,555,371,66.8,6.9,3568,22,11,91.7,195,35.1,38,5,60T,39,2012,passing,defense
Bills,536,306,57.1,6.8,3473,25,12,84.4,182,34,45,7,53,36,2012,passing,defense
Ravens,557,335,60.1,7,3650,15,13,80.6,187,33.6,49,8,59,37,2012,passing,defense
Falcons,551,337,61.2,7.4,3878,14,20,77.1,189,34.3,53,6,77T,29,2012,passing,defense
