year,state,total_electoral_votes,candidate,electoral_votes
1976,Alabama,9,"Jimmy Carter,  of  Georgia",9
1976,Alaska,3,"Jimmy Carter,  of  Georgia",0
1976,Arizona,6,"Jimmy Carter,  of  Georgia",0
1976,Arkansas,6,"Jimmy Carter,  of  Georgia",6
1976,California,45,"Jimmy Carter,  of  Georgia",0
1976,Colorado,7,"Jimmy Carter,  of  Georgia",0
1976,Connecticut,8,"Jimmy Carter,  of  Georgia",0
1976,Delaware,3,"Jimmy Carter,  of  Georgia",3
1976,District of Columbia,3,"Jimmy Carter,  of  Georgia",3
1976,Florida,17,"Jimmy Carter,  of  Georgia",17
1976,Georgia,12,"Jimmy Carter,  of  Georgia",12
1976,Hawaii,4,"Jimmy Carter,  of  Georgia",4
1976,Idaho,4,"Jimmy Carter,  of  Georgia",0
1976,Illinois,26,"Jimmy Carter,  of  Georgia",0
1976,Indiana,13,"Jimmy Carter,  of  Georgia",0
1976,Iowa,8,"Jimmy Carter,  of  Georgia",0
1976,Kansas,7,"Jimmy Carter,  of  Georgia",0
1976,Kentucky,9,"Jimmy Carter,  of  Georgia",9
1976,Louisiana,10,"Jimmy Carter,  of  Georgia",10
1976,Maine,4,"Jimmy Carter,  of  Georgia",0
1976,Maryland,10,"Jimmy Carter,  of  Georgia",10
1976,Massachusetts,14,"Jimmy Carter,  of  Georgia",14
1976,Michigan,21,"Jimmy Carter,  of  Georgia",0
1976,Minnesota,10,"Jimmy Carter,  of  Georgia",10
1976,Mississippi,7,"Jimmy Carter,  of  Georgia",7
1976,Missouri,12,"Jimmy Carter,  of  Georgia",12
1976,Montana,4,"Jimmy Carter,  of  Georgia",0
1976,Nebraska,5,"Jimmy Carter,  of  Georgia",0
1976,Nevada,3,"Jimmy Carter,  of  Georgia",0
1976,New Hampshire,4,"Jimmy Carter,  of  Georgia",0
1976,New Jersey,17,"Jimmy Carter,  of  Georgia",0
1976,New Mexico,4,"Jimmy Carter,  of  Georgia",0
1976,New York,41,"Jimmy Carter,  of  Georgia",41
1976,North Carolina,13,"Jimmy Carter,  of  Georgia",13
1976,North Dakota,3,"Jimmy Carter,  of  Georgia",0
1976,Ohio,25,"Jimmy Carter,  of  Georgia",25
1976,Oklahoma,8,"Jimmy Carter,  of  Georgia",0
1976,Oregon,6,"Jimmy Carter,  of  Georgia",0
1976,Pennsylvania,27,"Jimmy Carter,  of  Georgia",27
1976,Rhode Island,4,"Jimmy Carter,  of  Georgia",4
1976,South Carolina,8,"Jimmy Carter,  of  Georgia",8
1976,South Dakota,4,"Jimmy Carter,  of  Georgia",0
1976,Tennessee,10,"Jimmy Carter,  of  Georgia",10
1976,Texas,26,"Jimmy Carter,  of  Georgia",26
1976,Utah,4,"Jimmy Carter,  of  Georgia",0
1976,Vermont,3,"Jimmy Carter,  of  Georgia",0
1976,Virginia,12,"Jimmy Carter,  of  Georgia",0
1976,Washington,9,"Jimmy Carter,  of  Georgia",0
1976,West Virginia,6,"Jimmy Carter,  of  Georgia",6
1976,Wisconsin,11,"Jimmy Carter,  of  Georgia",11
1976,Wyoming,3,"Jimmy Carter,  of  Georgia",0
1976,Alabama,9,"Gerald R. Ford,  of  Michigan",0
1976,Alaska,3,"Gerald R. Ford,  of  Michigan",3
1976,Arizona,6,"Gerald R. Ford,  of  Michigan",6
1976,Arkansas,6,"Gerald R. Ford,  of  Michigan",0
1976,California,45,"Gerald R. Ford,  of  Michigan",45
1976,Colorado,7,"Gerald R. Ford,  of  Michigan",7
1976,Connecticut,8,"Gerald R. Ford,  of  Michigan",8
1976,Delaware,3,"Gerald R. Ford,  of  Michigan",0
1976,District of Columbia,3,"Gerald R. Ford,  of  Michigan",0
1976,Florida,17,"Gerald R. Ford,  of  Michigan",0
1976,Georgia,12,"Gerald R. Ford,  of  Michigan",0
1976,Hawaii,4,"Gerald R. Ford,  of  Michigan",0
1976,Idaho,4,"Gerald R. Ford,  of  Michigan",4
1976,Illinois,26,"Gerald R. Ford,  of  Michigan",26
1976,Indiana,13,"Gerald R. Ford,  of  Michigan",13
1976,Iowa,8,"Gerald R. Ford,  of  Michigan",8
1976,Kansas,7,"Gerald R. Ford,  of  Michigan",7
1976,Kentucky,9,"Gerald R. Ford,  of  Michigan",0
1976,Louisiana,10,"Gerald R. Ford,  of  Michigan",0
1976,Maine,4,"Gerald R. Ford,  of  Michigan",4
1976,Maryland,10,"Gerald R. Ford,  of  Michigan",0
1976,Massachusetts,14,"Gerald R. Ford,  of  Michigan",0
1976,Michigan,21,"Gerald R. Ford,  of  Michigan",21
1976,Minnesota,10,"Gerald R. Ford,  of  Michigan",0
1976,Mississippi,7,"Gerald R. Ford,  of  Michigan",0
1976,Missouri,12,"Gerald R. Ford,  of  Michigan",0
1976,Montana,4,"Gerald R. Ford,  of  Michigan",4
1976,Nebraska,5,"Gerald R. Ford,  of  Michigan",5
1976,Nevada,3,"Gerald R. Ford,  of  Michigan",3
1976,New Hampshire,4,"Gerald R. Ford,  of  Michigan",4
1976,New Jersey,17,"Gerald R. Ford,  of  Michigan",17
1976,New Mexico,4,"Gerald R. Ford,  of  Michigan",4
1976,New York,41,"Gerald R. Ford,  of  Michigan",0
1976,North Carolina,13,"Gerald R. Ford,  of  Michigan",0
1976,North Dakota,3,"Gerald R. Ford,  of  Michigan",3
1976,Ohio,25,"Gerald R. Ford,  of  Michigan",0
1976,Oklahoma,8,"Gerald R. Ford,  of  Michigan",8
1976,Oregon,6,"Gerald R. Ford,  of  Michigan",6
1976,Pennsylvania,27,"Gerald R. Ford,  of  Michigan",0
1976,Rhode Island,4,"Gerald R. Ford,  of  Michigan",0
1976,South Carolina,8,"Gerald R. Ford,  of  Michigan",0
1976,South Dakota,4,"Gerald R. Ford,  of  Michigan",4
1976,Tennessee,10,"Gerald R. Ford,  of  Michigan",0
1976,Texas,26,"Gerald R. Ford,  of  Michigan",0
1976,Utah,4,"Gerald R. Ford,  of  Michigan",4
1976,Vermont,3,"Gerald R. Ford,  of  Michigan",3
1976,Virginia,12,"Gerald R. Ford,  of  Michigan",12
1976,Washington,9,"Gerald R. Ford,  of  Michigan",8
1976,West Virginia,6,"Gerald R. Ford,  of  Michigan",0
1976,Wisconsin,11,"Gerald R. Ford,  of  Michigan",0
1976,Wyoming,3,"Gerald R. Ford,  of  Michigan",3
1976,Alabama,9,"Ronald Reagan,  of  California",0
1976,Alaska,3,"Ronald Reagan,  of  California",0
1976,Arizona,6,"Ronald Reagan,  of  California",0
1976,Arkansas,6,"Ronald Reagan,  of  California",0
1976,California,45,"Ronald Reagan,  of  California",0
1976,Colorado,7,"Ronald Reagan,  of  California",0
1976,Connecticut,8,"Ronald Reagan,  of  California",0
1976,Delaware,3,"Ronald Reagan,  of  California",0
1976,District of Columbia,3,"Ronald Reagan,  of  California",0
1976,Florida,17,"Ronald Reagan,  of  California",0
1976,Georgia,12,"Ronald Reagan,  of  California",0
1976,Hawaii,4,"Ronald Reagan,  of  California",0
1976,Idaho,4,"Ronald Reagan,  of  California",0
1976,Illinois,26,"Ronald Reagan,  of  California",0
1976,Indiana,13,"Ronald Reagan,  of  California",0
1976,Iowa,8,"Ronald Reagan,  of  California",0
1976,Kansas,7,"Ronald Reagan,  of  California",0
1976,Kentucky,9,"Ronald Reagan,  of  California",0
1976,Louisiana,10,"Ronald Reagan,  of  California",0
1976,Maine,4,"Ronald Reagan,  of  California",0
1976,Maryland,10,"Ronald Reagan,  of  California",0
1976,Massachusetts,14,"Ronald Reagan,  of  California",0
1976,Michigan,21,"Ronald Reagan,  of  California",0
1976,Minnesota,10,"Ronald Reagan,  of  California",0
1976,Mississippi,7,"Ronald Reagan,  of  California",0
1976,Missouri,12,"Ronald Reagan,  of  California",0
1976,Montana,4,"Ronald Reagan,  of  California",0
1976,Nebraska,5,"Ronald Reagan,  of  California",0
1976,Nevada,3,"Ronald Reagan,  of  California",0
1976,New Hampshire,4,"Ronald Reagan,  of  California",0
1976,New Jersey,17,"Ronald Reagan,  of  California",0
1976,New Mexico,4,"Ronald Reagan,  of  California",0
1976,New York,41,"Ronald Reagan,  of  California",0
1976,North Carolina,13,"Ronald Reagan,  of  California",0
1976,North Dakota,3,"Ronald Reagan,  of  California",0
1976,Ohio,25,"Ronald Reagan,  of  California",0
1976,Oklahoma,8,"Ronald Reagan,  of  California",0
1976,Oregon,6,"Ronald Reagan,  of  California",0
1976,Pennsylvania,27,"Ronald Reagan,  of  California",0
1976,Rhode Island,4,"Ronald Reagan,  of  California",0
1976,South Carolina,8,"Ronald Reagan,  of  California",0
1976,South Dakota,4,"Ronald Reagan,  of  California",0
1976,Tennessee,10,"Ronald Reagan,  of  California",0
1976,Texas,26,"Ronald Reagan,  of  California",0
1976,Utah,4,"Ronald Reagan,  of  California",0
1976,Vermont,3,"Ronald Reagan,  of  California",0
1976,Virginia,12,"Ronald Reagan,  of  California",0
1976,Washington,9,"Ronald Reagan,  of  California",1
1976,West Virginia,6,"Ronald Reagan,  of  California",0
1976,Wisconsin,11,"Ronald Reagan,  of  California",0
1976,Wyoming,3,"Ronald Reagan,  of  California",0
1980,Alabama,9,"Ronald Reagan,  of  California",9
1980,Alaska,3,"Ronald Reagan,  of  California",3
1980,Arizona,6,"Ronald Reagan,  of  California",6
1980,Arkansas,6,"Ronald Reagan,  of  California",6
1980,California,45,"Ronald Reagan,  of  California",45
1980,Colorado,7,"Ronald Reagan,  of  California",7
1980,Connecticut,8,"Ronald Reagan,  of  California",8
1980,Delaware,3,"Ronald Reagan,  of  California",3
1980,District of Columbia,3,"Ronald Reagan,  of  California",0
1980,Florida,17,"Ronald Reagan,  of  California",17
1980,Georgia,12,"Ronald Reagan,  of  California",0
1980,Hawaii,4,"Ronald Reagan,  of  California",0
1980,Idaho,4,"Ronald Reagan,  of  California",4
1980,Illinois,26,"Ronald Reagan,  of  California",26
1980,Indiana,13,"Ronald Reagan,  of  California",13
1980,Iowa,8,"Ronald Reagan,  of  California",8
1980,Kansas,7,"Ronald Reagan,  of  California",7
1980,Kentucky,9,"Ronald Reagan,  of  California",9
1980,Louisiana,10,"Ronald Reagan,  of  California",10
1980,Maine,4,"Ronald Reagan,  of  California",4
1980,Maryland,10,"Ronald Reagan,  of  California",0
1980,Massachusetts,14,"Ronald Reagan,  of  California",14
1980,Michigan,21,"Ronald Reagan,  of  California",21
1980,Minnesota,10,"Ronald Reagan,  of  California",0
1980,Mississippi,7,"Ronald Reagan,  of  California",7
1980,Missouri,12,"Ronald Reagan,  of  California",12
1980,Montana,4,"Ronald Reagan,  of  California",4
1980,Nebraska,5,"Ronald Reagan,  of  California",5
1980,Nevada,3,"Ronald Reagan,  of  California",3
1980,New Hampshire,4,"Ronald Reagan,  of  California",4
1980,New Jersey,17,"Ronald Reagan,  of  California",17
1980,New Mexico,4,"Ronald Reagan,  of  California",4
1980,New York,41,"Ronald Reagan,  of  California",41
1980,North Carolina,13,"Ronald Reagan,  of  California",13
1980,North Dakota,3,"Ronald Reagan,  of  California",3
1980,Ohio,25,"Ronald Reagan,  of  California",25
1980,Oklahoma,8,"Ronald Reagan,  of  California",8
1980,Oregon,6,"Ronald Reagan,  of  California",6
1980,Pennsylvania,27,"Ronald Reagan,  of  California",27
1980,Rhode Island,4,"Ronald Reagan,  of  California",0
1980,South Carolina,8,"Ronald Reagan,  of  California",8
1980,South Dakota,4,"Ronald Reagan,  of  California",4
1980,Tennessee,10,"Ronald Reagan,  of  California",10
1980,Texas,26,"Ronald Reagan,  of  California",26
1980,Utah,4,"Ronald Reagan,  of  California",4
1980,Vermont,3,"Ronald Reagan,  of  California",3
1980,Virginia,12,"Ronald Reagan,  of  California",12
1980,Washington,9,"Ronald Reagan,  of  California",9
1980,West Virginia,6,"Ronald Reagan,  of  California",0
1980,Wisconsin,11,"Ronald Reagan,  of  California",11
1980,Wyoming,3,"Ronald Reagan,  of  California",3
1980,Alabama,9,"Jimmy Carter,  of  Georgia",0
1980,Alaska,3,"Jimmy Carter,  of  Georgia",0
1980,Arizona,6,"Jimmy Carter,  of  Georgia",0
1980,Arkansas,6,"Jimmy Carter,  of  Georgia",0
1980,California,45,"Jimmy Carter,  of  Georgia",0
1980,Colorado,7,"Jimmy Carter,  of  Georgia",0
1980,Connecticut,8,"Jimmy Carter,  of  Georgia",0
1980,Delaware,3,"Jimmy Carter,  of  Georgia",0
1980,District of Columbia,3,"Jimmy Carter,  of  Georgia",3
1980,Florida,17,"Jimmy Carter,  of  Georgia",0
1980,Georgia,12,"Jimmy Carter,  of  Georgia",12
1980,Hawaii,4,"Jimmy Carter,  of  Georgia",4
1980,Idaho,4,"Jimmy Carter,  of  Georgia",0
1980,Illinois,26,"Jimmy Carter,  of  Georgia",0
1980,Indiana,13,"Jimmy Carter,  of  Georgia",0
1980,Iowa,8,"Jimmy Carter,  of  Georgia",0
1980,Kansas,7,"Jimmy Carter,  of  Georgia",0
1980,Kentucky,9,"Jimmy Carter,  of  Georgia",0
1980,Louisiana,10,"Jimmy Carter,  of  Georgia",0
1980,Maine,4,"Jimmy Carter,  of  Georgia",0
1980,Maryland,10,"Jimmy Carter,  of  Georgia",10
1980,Massachusetts,14,"Jimmy Carter,  of  Georgia",0
1980,Michigan,21,"Jimmy Carter,  of  Georgia",0
1980,Minnesota,10,"Jimmy Carter,  of  Georgia",10
1980,Mississippi,7,"Jimmy Carter,  of  Georgia",0
1980,Missouri,12,"Jimmy Carter,  of  Georgia",0
1980,Montana,4,"Jimmy Carter,  of  Georgia",0
1980,Nebraska,5,"Jimmy Carter,  of  Georgia",0
1980,Nevada,3,"Jimmy Carter,  of  Georgia",0
1980,New Hampshire,4,"Jimmy Carter,  of  Georgia",0
1980,New Jersey,17,"Jimmy Carter,  of  Georgia",0
1980,New Mexico,4,"Jimmy Carter,  of  Georgia",0
1980,New York,41,"Jimmy Carter,  of  Georgia",0
1980,North Carolina,13,"Jimmy Carter,  of  Georgia",0
1980,North Dakota,3,"Jimmy Carter,  of  Georgia",0
1980,Ohio,25,"Jimmy Carter,  of  Georgia",0
1980,Oklahoma,8,"Jimmy Carter,  of  Georgia",0
1980,Oregon,6,"Jimmy Carter,  of  Georgia",0
1980,Pennsylvania,27,"Jimmy Carter,  of  Georgia",0
1980,Rhode Island,4,"Jimmy Carter,  of  Georgia",4
1980,South Carolina,8,"Jimmy Carter,  of  Georgia",0
1980,South Dakota,4,"Jimmy Carter,  of  Georgia",0
1980,Tennessee,10,"Jimmy Carter,  of  Georgia",0
1980,Texas,26,"Jimmy Carter,  of  Georgia",0
1980,Utah,4,"Jimmy Carter,  of  Georgia",0
1980,Vermont,3,"Jimmy Carter,  of  Georgia",0
1980,Virginia,12,"Jimmy Carter,  of  Georgia",0
1980,Washington,9,"Jimmy Carter,  of  Georgia",0
1980,West Virginia,6,"Jimmy Carter,  of  Georgia",6
1980,Wisconsin,11,"Jimmy Carter,  of  Georgia",0
1980,Wyoming,3,"Jimmy Carter,  of  Georgia",0
1984,Alabama,9,"Ronald Reagan,  of  California",9
1984,Alaska,3,"Ronald Reagan,  of  California",3
1984,Arizona,7,"Ronald Reagan,  of  California",7
1984,Arkansas,6,"Ronald Reagan,  of  California",6
1984,California,47,"Ronald Reagan,  of  California",47
1984,Colorado,8,"Ronald Reagan,  of  California",8
1984,Connecticut,8,"Ronald Reagan,  of  California",8
1984,Delaware,3,"Ronald Reagan,  of  California",3
1984,District of Columbia,3,"Ronald Reagan,  of  California",0
1984,Florida,21,"Ronald Reagan,  of  California",21
1984,Georgia,12,"Ronald Reagan,  of  California",12
1984,Hawaii,4,"Ronald Reagan,  of  California",4
1984,Idaho,4,"Ronald Reagan,  of  California",4
