Temporada,Torneo,Equipo
2020/2021,Clausura,Cruz Azul
2020/2021,Apertura,León
2019/2020,Clausura,No Champion
2019/2020,Apertura,Monterrey
2018/2019,Clausura,Tigres
2018/2019,Apertura,América
2017/2018,Clausura,Santos
2017/2018,Apertura,Tigres
2016/2017,Clausura,Chivas
2016/2017,Apertura,Tigres
2015/2016,Clausura,Pachuca
2015/2016,Apertura,Tigres
2014/2015,Clausura,Santos
2014/2015,Apertura,América
2013/2014,Clausura,León
2013/2014,Apertura,León
2012/2013,Clausura,América
2012/2013,Apertura,Tijuana
2011/2012,Clausura,Santos
2011/2012,Apertura,Tigres
2010/2011,Clausura,Pumas
2010/2011,Apertura,Monterrey
2009/2010,Clausura,Toluca
2009/2010,Apertura,Monterrey
2008/2009,Clausura,Pumas
2008/2009,Apertura,Toluca
2007/2008,Clausura,Santos
2007/2008,Apertura,Atlante
2006/2007,Clausura,Pachuca
2006/2007,Apertura,Chivas
2006,Clausura,Pachuca
2006,Apertura,Toluca
2005,Clausura,América
2005,Apertura,Pumas
2004,Clausura,Pumas
2004,Apertura,Pachuca
2003,Clausura,Monterrey
2003,Apertura,Toluca
2002,2002,Pachuca
2002,2002,América
2001,2001,Morelia
2001,2001,Santos
2000,2000,Pachuca
2000,2000,Toluca
1999,1999,Necaxa
1999,1999,Toluca
1998,1998,Cruz Azul
1998,1998,Toluca
1997,1997,Santos
1997,1997,Chivas
1996,1996,Necaxa
1995,1995,Necaxa
1994,1994,UAG Tecos
1993,1993,Atlante
1992,1992,León
1991,1991,Pumas
1990,1990,Puebla
1989,1989,América
1988,1988,América
1987,1987,Chivas
1986,1986,Monterrey
1985,1985,América
1985,1985,América
1984,1984,América
1983,1983,Puebla
1982,1982,Tigres
1981,1981,Pumas
1980,1980,Cruz Azul
1979,1979,Cruz Azul
1978,1978,Tigres
1977,1977,Pumas
1976,1976,América
1975,1975,Toluca
1974,1974,Cruz Azul
1973,1973,Cruz Azul
1972,1972,Cruz Azul
1971,1971,América
1970,1970,Chivas
1970,1970,Cruz Azul
1969,1969,Cruz Azul
1968,1968,Toluca
1967,1967,Toluca
1966,1966,América
1965,1965,Chivas
1964,1964,Chivas
1963,1963,Oro
1962,1962,Chivas
1961,1961,Chivas
1960,1960,Chivas
1959,1959,Chivas
1958,1958,Zacatepec
1957,1957,Chivas
1956,1956,León
1955,1955,Zacatepec
1954,1954,Marte
1953,1953,TM
1952,1952,León
1951,1951,Atlas
1950,1950,Veracruz
1949,1949,León
1948,1948,León
1947,1947,Atlante
1946,1946,Veracruz
1945,1945,España
1944,1944,Asturias
1943,1943,España
