,Temporada,Torneo,Equipo,Torneos
0,2020/2021,Clausura,Cruz Azul,1
1,2020/2021,Apertura,León,1
3,2019/2020,Apertura,Monterrey,1
4,2018/2019,Clausura,Tigres,1
5,2018/2019,Apertura,América,1
6,2017/2018,Clausura,Santos,1
7,2017/2018,Apertura,Tigres,1
8,2016/2017,Clausura,Chivas,1
9,2016/2017,Apertura,Tigres,1
10,2015/2016,Clausura,Pachuca,1
11,2015/2016,Apertura,Tigres,1
12,2014/2015,Clausura,Santos,1
13,2014/2015,Apertura,América,1
14,2013/2014,Clausura,León,1
15,2013/2014,Apertura,León,1
16,2012/2013,Clausura,América,1
17,2012/2013,Apertura,Tijuana,1
18,2011/2012,Clausura,Santos,1
19,2011/2012,Apertura,Tigres,1
20,2010/2011,Clausura,Pumas,1
21,2010/2011,Apertura,Monterrey,1
22,2009/2010,Clausura,Toluca,1
23,2009/2010,Apertura,Monterrey,1
24,2008/2009,Clausura,Pumas,1
25,2008/2009,Apertura,Toluca,1
26,2007/2008,Clausura,Santos,1
28,2006/2007,Clausura,Pachuca,1
29,2006/2007,Apertura,Chivas,1
30,2006,Clausura,Pachuca,1
31,2006,Apertura,Toluca,1
32,2005,Clausura,América,1
33,2005,Apertura,Pumas,1
34,2004,Clausura,Pumas,1
35,2004,Apertura,Pachuca,1
36,2003,Clausura,Monterrey,1
37,2003,Apertura,Toluca,1
38,2002,2002,Pachuca,1
39,2002,2002,América,1
41,2001,2001,Santos,1
42,2000,2000,Pachuca,1
43,2000,2000,Toluca,1
44,1999,1999,Necaxa,1
45,1999,1999,Toluca,1
46,1998,1998,Cruz Azul,1
47,1998,1998,Toluca,1
48,1997,1997,Santos,1
49,1997,1997,Chivas,1
50,1996,1996,Necaxa,1
51,1995,1995,Necaxa,1
54,1992,1992,León,1
55,1991,1991,Pumas,1
56,1990,1990,Puebla,1
57,1989,1989,América,1
58,1988,1988,América,1
59,1987,1987,Chivas,1
60,1986,1986,Monterrey,1
61,1985,1985,América,1
62,1985,1985,América,1
63,1984,1984,América,1
64,1983,1983,Puebla,1
65,1982,1982,Tigres,1
66,1981,1981,Pumas,1
67,1980,1980,Cruz Azul,1
68,1979,1979,Cruz Azul,1
69,1978,1978,Tigres,1
70,1977,1977,Pumas,1
71,1976,1976,América,1
72,1975,1975,Toluca,1
73,1974,1974,Cruz Azul,1
74,1973,1973,Cruz Azul,1
75,1972,1972,Cruz Azul,1
76,1971,1971,América,1
77,1970,1970,Chivas,1
78,1970,1970,Cruz Azul,1
79,1969,1969,Cruz Azul,1
80,1968,1968,Toluca,1
81,1967,1967,Toluca,1
82,1966,1966,América,1
83,1965,1965,Chivas,1
84,1964,1964,Chivas,1
86,1962,1962,Chivas,1
87,1961,1961,Chivas,1
88,1960,1960,Chivas,1
89,1959,1959,Chivas,1
91,1957,1957,Chivas,1
92,1956,1956,León,1
96,1952,1952,León,1
97,1951,1951,Atlas,1
99,1949,1949,León,1
100,1948,1948,León,1
