COUNTRY|CODE
Vietnam|VNM
Argentina|ARG
Australia|AUS
Brazil|BRA
Britain|GBR
Canada|CAN
Chile|CHL
China|CHN
Colombia|COL
Costa Rica|CRI
Czech Republic|CZE
Denmark|DNK
Egypt|EGY
Euro area|EUR
Hong Kong|HKG
Hungary|HUN
India|IND
Indonesia|IDN
Israel|ISR
Japan|JPN
Lithuania|LTU
Malaysia|MYS
Mexico|MEX
New Zealand|NZL
Norway|NOR
Pakistan|PAK
Peru|PER
Philippines|PHL
Poland|POL
Russia|RUS
Saudi Arabia|SAU
Singapore|SIN
South Africa|ZAF
South Korea|KOR
Sri Lanka|LKA
Sweden|SWE
Switzerland|CHE
Taiwan|ROC
Thailand|THA
Turkey|TUR
UAE|UAE
Ukraine|UKR
United States|USA
Uruguay|URY
Venezuela|VEN
Austria|AUT
Belgium|BEL
Estonia|EST
Finland|FIN
France|FRA
Germany|DEU
Greece|GRC
Ireland|IRL
Italy|ITA
Netherlands|NLD
Portugal|PRT
Spain|ESP
Latvia|LVA
