K_EMPRESA,ANIO,MES,FOLIO,FECHA,CONCESIONARIO,EMPRESA,L_TOTAL_E,L_PREPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,K_GRUPO,GRUPO
C263,2013,1,100388,15JAN2013,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,635,093","1,237,532","1,397,561",,G005,IUSACELL-UNEFÓN
C263,2013,2,100388,15-feb-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,708,804","1,285,116","1,423,688",,G005,IUSACELL-UNEFÓN
C263,2013,3,100388,15-mar-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,827,680","1,365,849","1,461,831",,G005,IUSACELL-UNEFÓN
C263,2013,4,100388,15APR2013,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,795,588","1,256,087","1,539,501",,G005,IUSACELL-UNEFÓN
C263,2013,5,100388,15-may-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,843,261","1,281,100","1,562,161",,G005,IUSACELL-UNEFÓN
C263,2013,6,100388,15-jun-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,899,338","1,300,082","1,599,256",,G005,IUSACELL-UNEFÓN
C263,2013,7,100388,15-jul-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,948,087","1,319,387","1,628,700",,G005,IUSACELL-UNEFÓN
C263,2013,8,100388,15AUG2013,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,968,560","1,309,297","1,659,263",,G005,IUSACELL-UNEFÓN
C263,2013,9,100388,15-sep-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,007,864","1,316,038","1,691,826",,G005,IUSACELL-UNEFÓN
C263,2013,10,100388,15-oct-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,051,048","1,328,350","1,722,698",,G005,IUSACELL-UNEFÓN
C263,2013,11,100388,15-nov-13,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,104,132","1,358,099","1,746,033",,G005,IUSACELL-UNEFÓN
C263,2013,12,100388,15DEC2013,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,177,884","1,397,256","1,780,628",,G005,IUSACELL-UNEFÓN
C263,2014,1,100388,15JAN2014,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,193,461","1,392,872","1,800,589",,G005,IUSACELL-UNEFÓN
C263,2014,2,100388,15-feb-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,247,871","1,435,955","1,811,916",,G005,IUSACELL-UNEFÓN
C263,2014,3,100388,15-mar-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,317,380","1,499,605","1,817,775",,G005,IUSACELL-UNEFÓN
C263,2014,4,100388,15APR2014,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,347,335","1,544,300","1,803,035",,G005,IUSACELL-UNEFÓN
C263,2014,5,100388,15-may-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,372,947","1,562,961","1,809,986",,G005,IUSACELL-UNEFÓN
C263,2014,6,100388,15-jun-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,384,407","1,575,069","1,809,338",,G005,IUSACELL-UNEFÓN
C263,2014,7,100388,15-jul-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,494,218","1,628,983","1,865,235",,G005,IUSACELL-UNEFÓN
C263,2014,8,100388,15AUG2014,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,580,042","1,704,449","1,875,593",,G005,IUSACELL-UNEFÓN
C263,2014,9,100388,15-sep-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,647,302","1,757,146","1,890,156",,G005,IUSACELL-UNEFÓN
C263,2014,10,100388,15-oct-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,662,177","1,825,568","1,836,609",,G005,IUSACELL-UNEFÓN
C263,2014,11,100388,15-nov-14,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,742,549","1,885,503","1,857,046",,G005,IUSACELL-UNEFÓN
C263,2014,12,100388,15DEC2014,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"3,856,387","1,975,600","1,880,787",,G005,IUSACELL-UNEFÓN
C263,2015,1,100388,15JAN2015,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,580,941","1,320,432","1,260,509",,G005,IUSACELL-UNEFÓN
C263,2015,2,100388,15-feb-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,666,743","1,285,770","1,380,973",,G005,IUSACELL-UNEFÓN
C263,2015,3,100388,15-mar-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,633,973","788,165","1,845,808",,G005,IUSACELL-UNEFÓN
C263,2015,4,100388,15APR2015,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,521,697","725,673","1,796,024",,G005,IUSACELL-UNEFÓN
C263,2015,5,100388,15-may-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,510,703","700,307","1,810,396",,G005,IUSACELL-UNEFÓN
C263,2015,6,100388,15-jun-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,493,223","691,887","1,801,336",,G005,IUSACELL-UNEFÓN
C263,2015,7,100388,15-jul-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,468,955","629,985","1,838,970",,G005,IUSACELL-UNEFÓN
C263,2015,8,100388,15AUG2015,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,453,467","619,768","1,833,699",,G005,IUSACELL-UNEFÓN
C263,2015,9,100388,15-sep-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,346,963","579,791","1,767,172",,G005,IUSACELL-UNEFÓN
C378,2019,1,100418,15JAN2019,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"2,962","2,962",,,G008,MEGACABLE-MCM
